,City,Rank,Sunshine hours(City),Cost of a bottle of water(City),Obesity levels(Country),Life expectancy(years) (Country),Pollution(Index score) (City),Annual avg. hours worked,Happiness levels(Country),Outdoor activities(City),Number of take out places(City),Cost of a monthly gym membership(City),Coordinates,Latitude,Longitude
29,Chicago,30,2508.0,1.2,36.2,78.8,43.0,1779.0,6.94,171,1320,41.14,"(41.8755616, -87.6244212)",41.8755616,-87.6244212
30,Hong Kong,31,1836.0,0.75,6.2,75.4,67.0,1673.0,5.51,277,1257,57.95,"(22.2793278, 114.1628131)",22.2793278,114.1628131
31,Shanghai,32,1776.0,0.29,6.2,75.4,77.0,1673.0,5.12,108,346,44.68,"(31.2322758, 121.4692071)",31.2322758,121.4692071
32,Brussels,33,1546.0,2.11,22.1,80.4,63.0,1583.0,6.86,55,988,25.34,"(50.8465573, 4.351697)",50.8465573,4.351697
33,San Francisco,34,3062.0,1.6,36.2,78.8,47.0,1779.0,6.94,242,1031,65.13,"(37.7790262, -122.419906)",37.7790262,-122.419906
34,Paris,35,1662.0,1.95,21.6,81.8,65.0,1505.0,6.66,331,4363,35.93,"(48.8588897, 2.3200410217200766)",48.8588897,2.3200410217200766
35,Sao Paulo,36,2003.0,0.44,22.1,73.9,80.0,1673.0,6.37,158,3355,16.07,"(-23.5506507, -46.6333824)",-23.5506507,-46.6333824
36,Zurich,37,1566.0,3.2,19.5,82.6,17.0,1557.0,7.56,69,538,73.11,"(47.3744489, 8.5410422)",47.3744489,8.5410422
37,London,38,1633.0,1.16,27.8,80.4,59.0,1538.0,7.16,433,6417,42.71,"(51.5073219, -0.1276474)",51.5073219,-0.1276474
38,Johannesburg,39,3124.0,0.59,28.3,56.3,62.0,1673.0,4.81,194,492,24.28,"(-26.205, 28.049722)",-26.205,28.049722
39,Milan,40,1915.0,1.15,19.9,82.7,67.0,1718.0,6.38,110,2396,53.49,"(45.4641943, 9.1896346)",45.4641943,9.1896346
40,"Washington, D.C.",41,2528.0,1.45,36.2,78.8,39.0,1779.0,6.94,83,744,65.99,"(38.9074322, -77.0350922)",38.9074322,-77.0350922
41,New York,42,2535.0,1.32,36.2,78.8,57.0,1779.0,6.94,359,3081,64.66,"(40.7127281, -74.0060152)",40.7127281,-74.0060152
42,Moscow,43,1901.0,0.41,23.1,69.5,58.0,1965.0,5.54,322,3206,31.4,"(55.7504461, 37.6174943)",55.7504461,37.6174943
43,Mexico City,44,2555.0,0.45,28.9,76.4,83.0,2137.0,6.46,192,1313,41.99,"(19.4326296, -99.1331785)",19.4326296,-99.1331785
